Rk,Team,Overall,url
1,Golden State Warriors,67-15,GSW
2,San Antonio Spurs,61-21,SAS
3,Houston Rockets,55-27,HOU
4,Boston Celtics,53-29,BOS
5,Cleveland Cavaliers,51-31,CLE
6,Los Angeles Clippers,51-31,LAC
7,Toronto Raptors,51-31,TOR
8,Utah Jazz,51-31,UTA
9,Washington Wizards,49-33,WAS
10,Oklahoma City Thunder,47-35,OKC
11,Atlanta Hawks,43-39,ATL
12,Memphis Grizzlies,43-39,MEM
13,Indiana Pacers,42-40,IND
14,Milwaukee Bucks,42-40,MIL
15,Chicago Bulls,41-41,CHI
16,Portland Trail Blazers,41-41,POR
17,Miami Heat,41-41,MIA
18,Denver Nuggets,40-42,DEN
19,Detroit Pistons,37-45,DET
20,Charlotte Hornets,36-46,CHO
21,New Orleans Pelicans,34-48,NOP
22,Dallas Mavericks,33-49,DAL
23,Sacramento Kings,32-50,SAC
24,Minnesota Timberwolves,31-51,MIN
25,New York Knicks,31-51,NYK
26,Orlando Magic,29-53,ORL
27,Philadelphia 76ers,28-54,PHI
28,Los Angeles Lakers,26-56,LAL
29,Phoenix Suns,24-58,PHO
30,Brooklyn Nets,20-62,BRK
